,source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
25,,Hipertextual,Luis Miranda,"¿Quién está detrás de DeepSeek, la IA china que tomó por sorpresa a OpenAI?","DeepSeek ha tomado por asalto el mundo y ya está generando pérdidas millonarias en empresas como OpenAI, NVIDIA y Microsoft. El modelo de lenguaje de origen chino deja en ridículo a otras IA como ChatGPT, superándolos no solo en rendimiento sino eficiencia. S…",http://hipertextual.com/2025/01/deepseek-ia-china-creador-openai-chatgpt,https://imgs.hipertextual.com/wp-content/uploads/2025/01/deepseek-ia.jpg,2025-01-27 18:55:00+00:00,"DeepSeek ha tomado por asalto el mundo y ya está generando pérdidas millonarias en empresas como OpenAI, NVIDIA y Microsoft. El modelo de lenguaje de origen chino deja en ridículo a otras IA como Cha… [+4843 chars]"
26,business-insider,Business Insider,Jordan Hart,"Apple is well-positioned as DeepSeek threatens AI giants, analysts say","Apple could benefit from China's DeepSeek, which appears to deliver cheaper AI models. Its competitors have already spent big on their own efforts.",https://www.businessinsider.com/apple-gains-deepseek-r1-disrupts-google-openai-cost-2025-1,https://i.insider.com/6797ae53eb4be2fff9a23785?width=1200&format=jpeg,2025-01-27 20:49:20+00:00,"Apple CEO Tim Cook poised to score a win with DeepSeek's R1 curveball.Chris Jackson/Getty Images
<ul><li>China's DeepSeek has roiled tech markets.</li><li>Apple's stock, however, rose on Monday whil… [+2932 chars]"
27,business-insider,Business Insider,"Theron Mohamed,Tom Carter",DeepSeek shocked the world — but cheap AI is straight out of China's disruption playbook,DeepSeek threatens to disrupt the AI sector in a similar fashion to the way Chinese companies have already upturned sectors such as EVs and mining.,https://www.businessinsider.com/deepseek-china-ai-chatbot-disruption-mining-ev-chatgpt-openai-nvidia-2025-1,https://i.insider.com/6798ec6f196626c409853f4a?width=1200&format=jpeg,2025-01-28 14:21:05+00:00,"The US-China Economic and Security Review Commission called for a ""Manhattan Project-like"" program to help build AGI.da-kuk/Getty Images
<ul><li>DeepSeek has sent shockwaves through the technology, … [+8868 chars]"
28,,Yahoo Entertainment,Julie Hyman,What is DeepSeek?,"DeepSeek, a Chinese artificial intelligence (AI) startup founded in 2023, is gaining attention following the January 20th release of its open-source R1 model...",https://finance.yahoo.com/video/deepseek-205942949.html,https://s.yimg.com/ny/api/res/1.2/gn8yydkYs8GpXP3CO6Xjaw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzY-/https://s.yimg.com/os/creatr-uploaded-images/2025-01/109f2930-dcf1-11ef-be8d-5f120c9939ee,2025-01-27 20:59:42+00:00,"DeepSeek, a Chinese artificial intelligence (AI) startup founded in 2023, is gaining attention following the January 20th release of its open-source R1 model, which rivals OpenAI's o1 model.
Market … [+591 chars]"
29,,Slashdot.org,msmash,Scale AI CEO Says China Has Quickly Caught the US With DeepSeek,"The U.S. may have led China in the AI race for the past decade, according to Alexandr Wang, CEO of Scale AI, but on Christmas Day, everything changed. From a report: Wang, whose company provides training data to key AI players including OpenAI, Google and Met…",https://news.slashdot.org/story/25/01/24/0049233/scale-ai-ceo-says-china-has-quickly-caught-the-us-with-deepseek,https://a.fsdn.com/sd/topics/usa_64.png,2025-01-24 12:00:00+00:00,"Wang, whose company provides training data to key AI players including OpenAI, Google and Meta , said Thursday at the World Economic Forum in Davos, Switzerland, that DeepSeek, the leading Chinese AI… [+842 chars]"
30,business-insider,Business Insider,Jordan Hart,"DeepSeek is going to be the biggest topic in tech earnings this week, analysts say","As US companies prepare for this earnings season, analysts say they should expect to be asked about AI spending following DeepSeek's launch.",https://www.businessinsider.com/deepseek-ai-big-topic-apple-meta-tech-earnings-spending-2025-1,https://i.insider.com/6798eb33196626c409853f06?width=1200&format=jpeg,2025-01-28 21:24:40+00:00,"DeepSeek is at the top of analysts' minds going into this earnings season.Greg Baker/ AFP via Getty Images
<ul><li>As US tech companies prep for earnings this week, there's one major topic on analys… [+3046 chars]"
31,,Hipertextual,Quelian Sanz,Cómo probar ahora mismo DeepSeek: la IA 100% gratuita que deja a ChatGPT en ridículo,"La IA del momento acaba de aterrizar en España y medio mundo poniendo todo patas arriba. DeepSeek fue anunciada hace unos pocos días y ya se ha convertido en una de las inteligencias artificiales referentes del panorama. No es para menos, pues la startup enca…",http://hipertextual.com/2025/01/como-probar-ahora-mismo-deepseek-la-ia-100-gratuita-que-deja-a-chatgpt-en-ridiculo,https://imgs.hipertextual.com/wp-content/uploads/2025/01/deepseek-4-scaled.jpg,2025-01-27 16:23:18+00:00,La IA del momento acaba de aterrizar en España y medio mundo poniendo todo patas arriba. DeepSeek fue anunciada hace unos pocos días y ya se ha convertido en una de las inteligencias artificiales ref… [+3365 chars]
32,,Hipertextual,Quelian Sanz,DeepSeek nos ha mentido a todos: la capacidad de su IA podría destrozar a la industria (aún más),"DeepSeek, la IA encargada de romper el mercado bursátil en medio mundo vuelve a la carga. Ya hemos hablado largo y tendido sobre ella, qué es, cómo se mide contra ChatGPT, quién la creó o cómo probarla de forma 100% gratuita. Ahora toca inmiscuirse en sus ade…",http://hipertextual.com/2025/01/deepseek-nos-ha-mentido-a-todos-la-capacidad-de-su-ia-podria-destrozar-a-la-industria-aun-mas,https://imgs.hipertextual.com/wp-content/uploads/2025/01/deepseek-5.jpg,2025-01-28 15:46:26+00:00,"DeepSeek, la IA encargada de romper el mercado bursátil en medio mundo vuelve a la carga. Ya hemos hablado largo y tendido sobre ella, qué es, cómo se mide contra ChatGPT, quién la creó o cómo probar… [+4493 chars]"
33,,VentureBeat,Michael Nuñez,"DeepSeek unleashes ‘Janus Pro 7B’ vision model amidst AI stock bloodbath, igniting fresh fears of Chinese tech dominance","DeepSeek's Janus Pro 7B vision AI model launch sends shockwaves through markets, triggering US tech stock sell-off and intensifying competition with Silicon Valley giants like OpenAI and Nvidia.",https://venturebeat.com/ai/deepseek-unleashes-janus-pro-7b-vision-model-amidst-ai-stock-bloodbath-igniting-fresh-fears-of-chinese-tech-dominance/,https://venturebeat.com/wp-content/uploads/2025/01/nuneybits_Vector_art_of_a_whale_made_of_computer_code_splashing_6369c831-9232-457b-908c-6fe320485e75.webp?w=853?w=1200&strip=all,2025-01-27 22:18:58+00:00,"Join our daily and weekly newsletters for the latest updates and exclusive content on industry-leading AI coverage. Learn More
DeepSeek, the fast-growing Chinese AI company, is shaking up global tec… [+6475 chars]"
34,,Hipertextual,Gabriel Erard,DeepSeek se lanza a la yugular de DALL-E y Stable Difussion con su propia IA para crear imágenes,"DeepSeek está aprovechando su momento de fama mundial para lanzar nuevas IA. En este caso, la startup china ha presentado una familia de modelos para crear imágenes llamada Janus Pro que puede superar a DALL-E 3 y Stable Difussion XL en benchmarks clave. Los …",http://hipertextual.com/2025/01/deepseek-lanza-janus-pro-su-ia-para-crear-imagenes-desde-texto,https://i0.wp.com/imgs.hipertextual.com/wp-content/uploads/2025/01/vackground-com-hp-tDqblBqE-unsplash-scaled.jpg?fit=2560%2C1707&quality=70&strip=all&ssl=1,2025-01-27 19:45:00+00:00,"DeepSeek está aprovechando su momento de fama mundial para lanzar nuevas IA. En este caso, la startup china ha presentado una familia de modelos para crear imágenes llamada Janus Pro que puede supera… [+2656 chars]"
35,business-insider,Business Insider,Brent D. Griffiths,What DeepSeek AI means for the future of TikTok-style bans,Few expect Donald Trump to ease Biden-era limitations on China's ability to get advanced chips in the wake of DeepSeek's success.,https://www.businessinsider.com/deepseek-ai-trump-us-response-export-controls-2025-1,https://i.insider.com/6798ddc8eb4be2fff9a25d34?width=1200&format=jpeg,2025-01-28 15:28:49+00:00,"The unexpected power of Chinese startup Deepseek's R1 AI model threw financial markets into chaos.Andy Wong/AP
<ul><li>DeepSeek rattled tech and financial industries with the unexpected power of its… [+7713 chars]"
36,,Hipertextual,Gabriel Erard,DeepSeek está enviando toda tu información a China: qué datos recopila y para qué los usa,"DeepSeek ha irrumpido con muchísima fuerza en el segmento de la inteligencia artificial, gracias a sus modelos gratuitos y de código abierto. Sin embargo, por estas horas ha comenzado a hablarse muchísimo sobre la gran cantidad de información que recopilan su…",http://hipertextual.com/2025/01/deepseek-esta-enviando-toda-tu-informacion-a-china,https://i0.wp.com/imgs.hipertextual.com/wp-content/uploads/2025/01/deepseek-2.jpg?fit=1926%2C1250&quality=70&strip=all&ssl=1,2025-01-28 18:15:00+00:00,"DeepSeek ha irrumpido con muchísima fuerza en el segmento de la inteligencia artificial, gracias a sus modelos gratuitos y de código abierto. Sin embargo, por estas horas ha comenzado a hablarse much… [+5057 chars]"
37,,Hackaday,Maya Posch,New Open Source DeepSeek V3 Language Model Making Waves,"In the world of large language models (LLMs) there tend to be relatively few upsets ever since OpenAI barged onto the scene with its transformer-based GPT models a few years ago, yet now it seems t…",https://hackaday.com/2025/01/27/new-open-source-deepseek-v3-language-model-making-waves/,https://hackaday.com/wp-content/uploads/2025/01/deepseek-v3_benchmark.png,2025-01-27 21:00:11+00:00,"In the world of large language models (LLMs) there tend to be relatively few upsets ever since OpenAI barged onto the scene with its transformer-based GPT models a few years ago, yet now it seems tha… [+973 chars]"
38,,Hipertextual,Luis Miranda,El efecto DeepSeek: Donald Trump amaga con imponer aranceles a los chips,"Donald Trump tiene planes de incrementar los aranceles a los chips fabricados en otros países. El presidente de Estados Unidos anunció que aumentará la tasa del 2,5% a una cifra mucho mayor. Las declaraciones se dan en el marco del lanzamiento de DeepSeek, la…",http://hipertextual.com/2025/01/deepseek-donald-trump-aranceles-chips-china,https://imgs.hipertextual.com/wp-content/uploads/2024/11/trump-scaled.jpg,2025-01-28 17:38:07+00:00,"Donald Trump tiene planes de incrementar los aranceles a los chips fabricados en otros países. El presidente de Estados Unidos anunció que aumentará la tasa del 2,5% a una cifra mucho mayor. Las decl… [+2908 chars]"
39,,Yahoo Entertainment,,What DeepSeek means for America's AI ambitions,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_1016f018-76f0-40da-bb21-478c400f3ab1,,2025-01-28 23:37:15+00:00,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]"
40,,Yahoo Entertainment,Reuters,China's DeepSeek sets off AI market rout,SINGAPORE (Reuters) -Nasdaq futures slumped and technology shares slid in Japan on Monday as surging popularity of a Chinese discount artificial intelligence...,https://finance.yahoo.com/news/chinas-deepseek-sets-off-ai-071458375.html,https://media.zenfs.com/en/reuters-finance.com/e2f802a4d28f65fa03f577bb84b7004b,2025-01-27 07:14:58+00:00,SINGAPORE (Reuters) -Nasdaq futures slumped and technology shares slid in Japan on Monday as surging popularity of a Chinese discount artificial intelligence model wobbled investors' faith in the pro… [+2988 chars]
41,,Yahoo Entertainment,,China's DeepSeek sparks AI market rout,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_fbd29ffb-3df0-4d8f-bde8-7546a692017b,,2025-01-27 10:38:53+00:00,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+703 chars]"
42,,Hipertextual,Rubén Chicharro,"El CEO de OpenAI habla por primera vez sobre DeepSeek, la IA que destroza a ChatGPT","Sam Altman, CEO de OpenAI, no ha tardado en pronunciarse sobre la IA que amenaza no solo a su compañía y a ChatGPT, sino también a otros modelos de lenguaje de gran tamaño, como puede ser Gemini o Llama 3.1. El ejecutivo ha compartido su opinión en una public…",http://hipertextual.com/2025/01/el-ceo-de-open-ai-habla-por-primera-vez-sobre-deepseek,https://imgs.hipertextual.com/wp-content/uploads/2023/11/Sam-Altman-scaled.jpg,2025-01-28 14:54:27+00:00,"Sam Altman, CEO de OpenAI, no ha tardado en pronunciarse sobre la IA que amenaza no solo a su compañía y a ChatGPT, sino también a otros modelos de lenguaje de gran tamaño, como puede ser Gemini o Ll… [+2422 chars]"
